"S01F1","S01F2","S01F3","S01F4","S01F5","S01F6","S01F7","S02F1","S02F2","S02F3","S02F4","S02F5","S02F6","S02F7","S03F1","S03F2","S03F3","S03F4","S03F5","S03F6","S03F7","S04F1","S04F2","S04F3","S04F4","S04F5","S04F6","S04F7","S05F1","S05F2","S05F3","S05F4","S05F5","S05F6","S05F7","S06F1","S06F2","S06F3","S06F4","S06F5","S06F6","S06F7","S07F1","S07F2","S07F3","S07F4","S07F5","S07F6","S07F7","S08F1","S08F2","S08F3","S08F4","S08F5","S08F6","S08F7","S09F1","S09F2","S09F3","S09F4","S09F5","S09F6","S09F7","S10F1","S10F2","S10F3","S10F4","S10F5","S10F6","S10F7","S11F1","S11F2","S11F3","S11F4","S11F5","S11F6","S11F7","S12F1","S12F2","S12F3","S12F4","S12F5","S12F6","S12F7","S13F1","S13F2","S13F3","S13F4","S13F5","S13F6","S13F7","S14F1","S14F2","S14F3","S14F4","S14F5","S14F6","S14F7","S15F1","S15F2","S15F3","S15F4","S15F5","S15F6","S15F7","S16F1","S16F2","S16F3","S16F4","S16F5","S16F6","S16F7","S17F1","S17F2","S17F3","S17F4","S17F5","S17F6","S17F7","S18F1","S18F2","S18F3","S18F4","S18F5","S18F6","S18F7","S01F1 (#1)","S01F2 (#1)","S01F3 (#1)","S01F4 (#1)","S01F5 (#1)","S01F6 (#1)","S01F7 (#1)","S02F1 (#1)","S02F2 (#1)","S02F3 (#1)","S02F4 (#1)","S02F5 (#1)","S02F6 (#1)","S02F7 (#1)","S03F1 (#1)","S03F2 (#1)","S03F3 (#1)","S03F4 (#1)","S03F5 (#1)","S03F6 (#1)","S03F7 (#1)","S04F1 (#1)","S04F2 (#1)","S04F3 (#1)","S04F4 (#1)","S04F5 (#1)","S04F6 (#1)","S04F7 (#1)","S05F1 (#1)","S05F2 (#1)","S05F3 (#1)","S05F4 (#1)","S05F5 (#1)","S05F6 (#1)","S05F7 (#1)","S06F1 (#1)","S06F2 (#1)","S06F3 (#1)","S06F4 (#1)","S06F5 (#1)","S06F6 (#1)","S06F7 (#1)","S07F1 (#1)","S07F2 (#1)","S07F3 (#1)","S07F4 (#1)","S07F5 (#1)","S07F6 (#1)","S07F7 (#1)","S08F1 (#1)","S08F2 (#1)","S08F3 (#1)","S08F4 (#1)","S08F5 (#1)","S08F6 (#1)","S08F7 (#1)","S09F1 (#1)","S09F2 (#1)","S09F3 (#1)","S09F4 (#1)","S09F5 (#1)","S09F6 (#1)","S09F7 (#1)","S10F1 (#1)","S10F2 (#1)","S10F3 (#1)","S10F4 (#1)","S10F5 (#1)","S10F6 (#1)","S10F7 (#1)","S11F1 (#1)","S11F2 (#1)","S11F3 (#1)","S11F4 (#1)","S11F5 (#1)","S11F6 (#1)","S11F7 (#1)","S12F1 (#1)","S12F2 (#1)","S12F3 (#1)","S12F4 (#1)","S12F5 (#1)","S12F6 (#1)","S12F7 (#1)","S13F1 (#1)","S13F2 (#1)","S13F3 (#1)","S13F4 (#1)","S13F5 (#1)","S13F6 (#1)","S13F7 (#1)","S14F1 (#1)","S14F2 (#1)","S14F3 (#1)","S14F4 (#1)","S14F5 (#1)","S14F6 (#1)","S14F7 (#1)","S15F1 (#1)","S15F2 (#1)","S15F3 (#1)","S15F4 (#1)","S15F5 (#1)","S15F6 (#1)","S15F7 (#1)","S16F1 (#1)","S16F2 (#1)","S16F3 (#1)","S16F4 (#1)","S16F5 (#1)","S16F6 (#1)","S16F7 (#1)","S17F1 (#1)","S17F2 (#1)","S17F3 (#1)","S17F4 (#1)","S17F5 (#1)","S17F6 (#1)","S17F7 (#1)","S18F1 (#1)","S18F2 (#1)","S18F3 (#1)","S18F4 (#1)","S18F5 (#1)","S18F6 (#1)","S18F7 (#1)","ID",1,10,100,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99,winner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,0,-4,0,0.94,0.63,,,,,,,,,,,,,,,5,109.2,13.39,6.2,6.52,0.93,0.72,4,107.75,16.68,-1,12.98,0.94,0.66,2,109.5,10.5,-5.5,8.5,0.95,0.71,,,,,,,,,,,,,,,,,,,,,,2,128.5,27.5,-9,1,0.95,0.78,3,89.33,9.74,-9,2.83,0.99,0.64,,,,,,,,1,119,0,16,0,0.94,0.61,1,100,0,-17,0,0.94,0.62,0,0,0,0,0,0,0,1,0.030,0.012,0.005,0.005,0.007,0.023,0.006,0.014,0.011,0.008,0.018,0.005,0.011,0.005,0.010,0.005,0.007,0.009,0.006,0.006,0.005,0.009,0.002,0.006,0.009,0.005,0.009,0.007,0.017,0.010,0.015,0.003,0.006,0.011,0.009,0.012,0.008,0.005,0.011,0.008,0.007,0.009,0.005,0.008,0.007,0.006,0.003,0.006,0.009,0.004,0.004,0.004,0.009,0.003,0.008,0.004,0.006,0.005,0.006,0.009,0.010,0.003,0.003,0.011,0.014,0.010,0.003,0.007,0.016,0.007,0.008,0.003,0.006,0.004,0.005,0.006,0.010,0.012,0.008,0.003,0.003,0.007,0.017,0.004,0.004,0.026,0.011,0.015,0.008,0.002,0.004,0.008,0.003,0.013,0.006,0.017,0.012,0.009,0.010,0.011,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138.01,0,-0.83,0,0.93,0.62,,,,,,,,4,100.94,8.8,-1.41,18.51,0.94,0.67,,,,,,,,4,108.85,23.46,-3.83,13.44,0.93,0.67,3,120.56,12.51,-6.5,9.24,0.96,0.76,,,,,,,,3,115.52,16.41,-11.23,12.22,0.97,0.73,,,,,,,,,,,,,,,3,85.03,10.69,-0.16,1.36,0.99,0.65,2,115.38,2.68,-12.2,14.14,0.97,0.66,2,115.93,13.14,-3.64,13.91,0.97,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.127,0.008,0.006,0.003,0.009,0.006,0.003,0.006,0.009,0.006,0.008,0.009,0.007,0.012,0.005,0.015,0.004,0.005,0.003,0.009,0.006,0.014,0.006,0.010,0.004,0.004,0.006,0.005,0.005,0.013,0.006,0.003,0.004,0.007,0.008,0.011,0.005,0.002,0.017,0.009,0.002,0.015,0.009,0.014,0.004,0.003,0.006,0.010,0.014,0.006,0.015,0.011,0.004,0.007,0.005,0.011,0.010,0.012,0.009,0.013,0.008,0.005,0.004,0.004,0.007,0.004,0.009,0.006,0.004,0.007,0.007,0.007,0.015,0.006,0.012,0.005,0.009,0.007,0.003,0.010,0.009,0.005,0.012,0.006,0.005,0.005,0.006,0.005,0.005,0.007,0.003,0.004,0.004,0.004,0.008,0.010,0.004,0.008,0.006,0.006,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143.03,0,1.2,0,0.93,0.63,1,109.44,0,-12.13,0,0.98,0.6,4,95.83,6.87,-4.08,13.86,0.97,0.71,,,,,,,,,,,,,,,4,122.25,20.94,-7.2,9.21,0.94,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,96.69,12.85,-9.84,4.7,0.96,0.63,2,110.24,8.64,-4.06,16.69,0.97,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.104,0.007,0.012,0.004,0.004,0.011,0.003,0.009,0.006,0.003,0.009,0.005,0.013,0.005,0.013,0.007,0.005,0.006,0.005,0.006,0.016,0.008,0.015,0.013,0.006,0.008,0.006,0.003,0.008,0.013,0.006,0.003,0.005,0.015,0.007,0.004,0.005,0.007,0.005,0.009,0.003,0.005,0.016,0.010,0.010,0.005,0.005,0.007,0.006,0.004,0.013,0.014,0.003,0.003,0.007,0.015,0.008,0.008,0.013,0.007,0.007,0.004,0.004,0.008,0.006,0.008,0.008,0.007,0.005,0.006,0.003,0.002,0.005,0.005,0.005,0.005,0.010,0.007,0.005,0.003,0.009,0.009,0.017,0.003,0.003,0.004,0.003,0.010,0.010,0.009,0.004,0.008,0.003,0.009,0.007,0.008,0.003,0.004,0.011,0.005,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120.03,0,-10.56,0,0.94,0.63,1,92.2,0,-12.53,0,0.97,0.6,3,108.92,16.83,-2.37,20.77,0.96,0.73,7,109.02,22.34,3.03,8.49,0.92,0.72,3,107.79,11.82,-4.2,13.95,0.91,0.66,3,112.06,7.66,1.02,6.34,0.93,0.69,,,,,,,,,,,,,,,,,,,,,,2,129.06,36.86,-11.65,0.88,0.94,0.78,3,80.62,14.61,-9.74,4.99,0.98,0.64,2,107.99,1.05,-15.03,13.45,0.97,0.66,2,110.12,6.27,0.93,16.57,0.97,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.136,0.009,0.012,0.005,0.007,0.010,0.006,0.007,0.009,0.005,0.015,0.004,0.012,0.008,0.011,0.007,0.011,0.005,0.007,0.004,0.008,0.011,0.007,0.005,0.004,0.006,0.009,0.005,0.012,0.006,0.008,0.004,0.004,0.010,0.006,0.003,0.007,0.002,0.012,0.004,0.007,0.011,0.008,0.008,0.007,0.008,0.014,0.009,0.005,0.005,0.008,0.004,0.005,0.003,0.006,0.010,0.007,0.010,0.010,0.009,0.013,0.006,0.003,0.006,0.005,0.006,0.004,0.009,0.009,0.005,0.003,0.007,0.007,0.011,0.006,0.008,0.008,0.008,0.005,0.004,0.004,0.008,0.005,0.003,0.010,0.009,0.016,0.009,0.008,0.011,0.005,0.011,0.003,0.010,0.009,0.013,0.007,0.004,0.005,0.005,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,4,101.84,12.09,-9.28,18.75,0.93,0.7,6,96.98,13.4,6.64,8.8,0.93,0.72,,,,,,,,,,,,,,,4,123.35,24.88,-10.19,5.99,0.92,0.75,,,,,,,,5,114.83,21.21,-7.94,12.98,0.97,0.74,,,,,,,,,,,,,,,,,,,,,,1,125.42,0,15.26,0,0.94,0.61,1,98.23,0,-14.74,0,0.95,0.63,0,0,0,0,0,0,0,1,0.102,0.009,0.004,0.012,0.002,0.013,0.005,0.008,0.009,0.007,0.004,0.004,0.012,0.008,0.014,0.012,0.008,0.011,0.003,0.010,0.007,0.007,0.005,0.010,0.010,0.004,0.006,0.003,0.006,0.014,0.006,0.008,0.005,0.015,0.005,0.003,0.005,0.003,0.010,0.008,0.002,0.005,0.010,0.010,0.008,0.006,0.003,0.010,0.015,0.005,0.007,0.005,0.007,0.007,0.008,0.009,0.005,0.004,0.008,0.009,0.003,0.004,0.003,0.014,0.011,0.006,0.003,0.008,0.017,0.005,0.003,0.009,0.004,0.004,0.005,0.004,0.009,0.006,0.011,0.003,0.005,0.009,0.007,0.002,0.003,0.021,0.003,0.005,0.018,0.003,0.008,0.005,0.003,0.007,0.006,0.011,0.008,0.004,0.013,0.005,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147.96,0,-9.33,0,0.94,0.62,1,106.57,0,-5.92,0,0.98,0.61,4,102.69,15.69,1.31,17.02,0.96,0.7,,,,,,,,4,109.48,15.67,-1.3,15.45,0.94,0.66,2,111.18,2.1,-3.26,5.37,0.94,0.71,4,126.52,18.88,-7.6,13.1,0.92,0.75,5,117.67,19.15,-2.9,17.84,0.96,0.73,5,118.74,29.01,-6.11,13.13,0.97,0.74,2,135.38,29.38,-3.92,4.46,0.94,0.79,3,89.76,13.6,-6.24,4.31,0.98,0.65,3,115.21,9.32,-0.96,14.45,0.98,0.65,1,90.76,0,-18.63,0,1,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.142,0.005,0.009,0.008,0.010,0.006,0.013,0.007,0.006,0.005,0.005,0.012,0.006,0.005,0.008,0.011,0.005,0.008,0.004,0.010,0.009,0.014,0.009,0.007,0.009,0.003,0.006,0.006,0.009,0.008,0.005,0.004,0.005,0.008,0.006,0.004,0.005,0.004,0.006,0.007,0.005,0.012,0.005,0.004,0.004,0.013,0.009,0.006,0.005,0.005,0.006,0.008,0.006,0.003,0.013,0.013,0.006,0.007,0.008,0.017,0.007,0.009,0.006,0.012,0.009,0.004,0.007,0.013,0.009,0.011,0.005,0.008,0.007,0.008,0.010,0.007,0.008,0.007,0.007,0.010,0.004,0.005,0.006,0.008,0.012,0.009,0.013,0.005,0.005,0.008,0.007,0.011,0.005,0.005,0.006,0.009,0.006,0.007,0.008,0.005,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,101,0,19,0,0.93,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,84,2.83,-3,7.26,0.98,0.65,1,136,0,-3,0,0.94,0.76,1,130,0,-8,0,0.98,0.8,2,118,28,-9.5,7.5,0.96,0.73,3,126,9.9,2.33,12.36,0.94,0.79,5,132.8,20.53,1.8,10.8,0.98,0.69,0,0,0,0,0,0,0,1,117,0,-14,0,0.98,0.61,1,80,0,-2,0,0.95,0.61,0,0,0,0,0,0,0,2,0.006,0.009,0.007,0.004,0.005,0.016,0.004,0.003,0.004,0.006,0.005,0.007,0.137,0.004,0.006,0.009,0.003,0.003,0.003,0.004,0.006,0.006,0.006,0.007,0.006,0.011,0.011,0.005,0.006,0.010,0.012,0.003,0.007,0.013,0.009,0.003,0.004,0.006,0.004,0.011,0.005,0.004,0.002,0.014,0.009,0.008,0.007,0.008,0.005,0.004,0.004,0.007,0.014,0.009,0.004,0.002,0.009,0.008,0.009,0.013,0.006,0.011,0.007,0.011,0.008,0.011,0.006,0.004,0.016,0.010,0.004,0.007,0.011,0.003,0.007,0.002,0.004,0.015,0.006,0.005,0.010,0.010,0.004,0.004,0.005,0.021,0.004,0.007,0.015,0.005,0.004,0.004,0.008,0.003,0.011,0.005,0.008,0.006,0.009,0.009,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120.02,0,23.57,0,0.93,0.6,3,132.41,13.02,2.96,12.29,0.9,0.71,3,95.43,5.37,8.41,14.24,0.93,0.7,2,102.47,12.53,-4.4,3.91,0.89,0.76,1,114.73,0,-14.64,0,0.95,0.62,3,89.57,7.5,-4.9,6.93,0.97,0.65,1,132.38,0,-4.33,0,0.94,0.77,1,130.05,0,-10.19,0,0.97,0.8,3,123.27,23.64,-5.96,12.95,0.97,0.76,2,126.16,10.64,-4.03,9.5,0.95,0.76,,,,,,,,0,0,0,0,0,0,0,2,88.69,15.25,-2.42,8.67,0.99,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.014,0.008,0.004,0.008,0.007,0.007,0.003,0.016,0.012,0.004,0.007,0.004,0.146,0.014,0.007,0.011,0.004,0.008,0.005,0.006,0.015,0.005,0.005,0.011,0.009,0.008,0.004,0.003,0.010,0.008,0.007,0.004,0.008,0.009,0.008,0.003,0.006,0.008,0.004,0.007,0.006,0.004,0.004,0.010,0.005,0.010,0.012,0.006,0.006,0.003,0.005,0.005,0.006,0.007,0.008,0.007,0.007,0.010,0.012,0.006,0.004,0.010,0.007,0.003,0.010,0.008,0.004,0.003,0.009,0.006,0.007,0.009,0.005,0.014,0.010,0.008,0.006,0.012,0.013,0.007,0.011,0.010,0.004,0.005,0.014,0.008,0.008,0.005,0.004,0.015,0.007,0.006,0.007,0.013,0.004,0.004,0.004,0.005,0.009,0.006,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.08,0,14.62,0,0.93,0.6,2,140.92,5.97,-2.29,9.1,0.88,0.68,3,97.38,8.2,4.43,7.67,0.95,0.69,2,106.26,14.84,-8.73,11.09,0.88,0.76,,,,,,,,2,85,0.1,-6.16,8.86,0.97,0.65,,,,,,,,,,,,,,,2,127.64,34.72,-12.07,4.02,0.96,0.73,1,146.01,0,13.47,0,0.93,0.83,4,130.19,14.83,1.75,10.76,0.98,0.69,0,0,0,0,0,0,0,1,113.14,0,-8.13,0,0.98,0.61,1,68.26,0,5.04,0,0.95,0.6,0,0,0,0,0,0,0,2,0.006,0.011,0.009,0.011,0.008,0.017,0.008,0.002,0.004,0.004,0.003,0.007,0.144,0.007,0.012,0.012,0.007,0.005,0.006,0.006,0.005,0.004,0.006,0.006,0.006,0.006,0.003,0.015,0.011,0.009,0.006,0.004,0.007,0.016,0.007,0.004,0.011,0.008,0.008,0.006,0.006,0.004,0.005,0.008,0.010,0.006,0.004,0.003,0.005,0.004,0.009,0.007,0.006,0.009,0.007,0.005,0.009,0.005,0.007,0.008,0.010,0.006,0.005,0.007,0.009,0.014,0.006,0.006,0.010,0.008,0.006,0.007,0.015,0.006,0.007,0.003,0.003,0.008,0.007,0.007,0.009,0.007,0.005,0.004,0.007,0.012,0.004,0.015,0.018,0.007,0.003,0.007,0.004,0.010,0.005,0.008,0.003,0.006,0.014,0.005,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.88,0,17.9,0,0.96,0.59,3,144.57,5.51,5.59,9.88,0.89,0.71,3,98.72,15.77,7.99,9.61,0.95,0.7,2,106.48,7.52,-7.02,7.02,0.88,0.76,1,121.7,0,-6.13,0,0.95,0.62,2,90.25,8.24,1.33,14.23,0.96,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,124.86,19.26,1.98,11.02,0.98,0.69,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.005,0.017,0.008,0.006,0.015,0.003,0.003,0.005,0.005,0.005,0.004,0.005,0.115,0.008,0.007,0.009,0.004,0.005,0.008,0.012,0.005,0.004,0.007,0.005,0.011,0.005,0.004,0.004,0.010,0.007,0.009,0.005,0.005,0.011,0.009,0.004,0.009,0.010,0.009,0.009,0.010,0.007,0.008,0.009,0.003,0.006,0.005,0.008,0.006,0.008,0.010,0.006,0.010,0.006,0.007,0.012,0.009,0.005,0.015,0.003,0.006,0.018,0.009,0.006,0.013,0.012,0.007,0.003,0.012,0.005,0.013,0.007,0.008,0.008,0.009,0.003,0.007,0.004,0.008,0.006,0.014,0.006,0.004,0.005,0.005,0.010,0.005,0.005,0.004,0.004,0.005,0.010,0.004,0.009,0.005,0.009,0.004,0.009,0.006,0.009,2
